epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,79.9257,0.81266,1.56504,1.18546,0.38671,0.2,0.28056,0.1807,1.64374,3.30755,2.02655,0.00539412,0.00179804,0.00539412,0.00179804,0.00539412,0.00179804,0.00539412,0.00179804
53,81.278,0.82121,1.46868,1.22053,0.38671,0.2,0.28056,0.1807,1.64374,3.30755,2.02655,0.00538224,0.00179408,0.00538224,0.00179408,0.00538224,0.00179408,0.00538224,0.00179408
54,82.746,0.72442,1.58966,1.18121,0.42012,0.16805,0.3314,0.19341,1.4359,3.37045,1.92425,0.00537036,0.00179012,0.00537036,0.00179012,0.00537036,0.00179012,0.00537036,0.00179012
55,84.0875,0.81757,1.61316,1.21782,0.42012,0.16805,0.3314,0.19341,1.4359,3.37045,1.92425,0.00535848,0.00178616,0.00535848,0.00178616,0.00535848,0.00178616,0.00535848,0.00178616
56,85.5217,0.79081,1.6036,1.16166,0.45905,0.18362,0.33742,0.19326,1.3885,3.25002,1.89126,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
57,86.8442,0.67677,1.35762,1.10294,0.45905,0.18362,0.33742,0.19326,1.3885,3.25002,1.89126,0.00533472,0.00177824,0.00533472,0.00177824,0.00533472,0.00177824,0.00533472,0.00177824
58,88.316,0.95939,1.61699,1.33628,0.59345,0.31214,0.4033,0.24425,1.36448,3.09125,1.89607,0.00532284,0.00177428,0.00532284,0.00177428,0.00532284,0.00177428,0.00532284,0.00177428
59,89.6634,0.74604,1.4549,1.16695,0.59345,0.31214,0.4033,0.24425,1.36448,3.09125,1.89607,0.00531096,0.00177032,0.00531096,0.00177032,0.00531096,0.00177032,0.00531096,0.00177032
60,91.1091,0.60398,1.43225,1.09119,0.64134,0.3696,0.44186,0.2763,1.39539,3.09981,1.94816,0.00529908,0.00176636,0.00529908,0.00176636,0.00529908,0.00176636,0.00529908,0.00176636
61,92.5309,0.77704,1.80896,1.2429,0.64134,0.3696,0.44186,0.2763,1.39539,3.09981,1.94816,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
62,93.9414,0.63068,1.48299,1.14628,0.64937,0.37924,0.41667,0.25593,1.42379,3.00621,1.95178,0.00527532,0.00175844,0.00527532,0.00175844,0.00527532,0.00175844,0.00527532,0.00175844
63,95.2947,0.71499,1.40915,1.2275,0.64937,0.37924,0.41667,0.25593,1.42379,3.00621,1.95178,0.00526344,0.00175448,0.00526344,0.00175448,0.00526344,0.00175448,0.00526344,0.00175448
64,96.6821,0.69705,1.41587,1.13251,0.65535,0.38642,0.50653,0.33777,1.33356,2.96944,1.90157,0.00525156,0.00175052,0.00525156,0.00175052,0.00525156,0.00175052,0.00525156,0.00175052
65,97.9998,0.74385,1.50501,1.18905,0.65535,0.38642,0.50653,0.33777,1.33356,2.96944,1.90157,0.00523968,0.00174656,0.00523968,0.00174656,0.00523968,0.00174656,0.00523968,0.00174656
66,99.4589,0.69661,1.44501,1.1486,0.93975,0.2,0.45541,0.30653,1.28459,2.97573,1.8697,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
67,100.781,0.76413,1.45234,1.13984,0.93975,0.2,0.45541,0.30653,1.28459,2.97573,1.8697,0.00521592,0.00173864,0.00521592,0.00173864,0.00521592,0.00173864,0.00521592,0.00173864
68,102.14,0.57039,1.26496,1.03984,0.65152,0.38183,0.49007,0.34483,1.19026,2.8699,1.79776,0.00520404,0.00173468,0.00520404,0.00173468,0.00520404,0.00173468,0.00520404,0.00173468
69,103.457,0.75631,1.54271,1.20529,0.65152,0.38183,0.49007,0.34483,1.19026,2.8699,1.79776,0.00519216,0.00173072,0.00519216,0.00173072,0.00519216,0.00173072,0.00519216,0.00173072
70,104.948,0.69689,1.28631,1.07072,0.37459,0.36612,0.50203,0.36225,1.29132,2.79712,1.80518,0.00518028,0.00172676,0.00518028,0.00172676,0.00518028,0.00172676,0.00518028,0.00172676
71,106.295,0.57975,1.14825,1.06447,0.37459,0.36612,0.50203,0.36225,1.29132,2.79712,1.80518,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
72,107.771,0.68904,1.25535,1.10827,0.58786,0.57573,0.52995,0.36593,1.2793,2.80708,1.76798,0.00515652,0.00171884,0.00515652,0.00171884,0.00515652,0.00171884,0.00515652,0.00171884
